time,cam_name,pc_name,occupied_gt,people_count_gt
1970-01-01 00:00:00,Back_right,PC16,0,0
1970-01-01 00:00:00,Back_right,PC17,0,0
1970-01-01 00:00:00,Back_right,PC18,0,0
1970-01-01 00:00:00,Back_right,PC22,0,0
1970-01-01 00:00:00,Back_right,PC23,1,1
1970-01-01 00:00:00,Back_right,PC24,0,0
1970-01-01 00:00:00,Back_right,PC28,0,0
1970-01-01 00:00:00,Back_right,PC29,0,0
1970-01-01 00:00:00,Back_right,PC30,0,0
1970-01-01 00:00:43,Back_right,PC16,0,0
1970-01-01 00:00:43,Back_right,PC17,0,0
1970-01-01 00:00:43,Back_right,PC18,0,0
1970-01-01 00:00:43,Back_right,PC22,0,0
1970-01-01 00:00:43,Back_right,PC23,0,1
1970-01-01 00:00:43,Back_right,PC24,0,0
1970-01-01 00:00:43,Back_right,PC28,0,0
1970-01-01 00:00:43,Back_right,PC29,0,0
1970-01-01 00:00:43,Back_right,PC30,0,0
1970-01-01 00:00:50,Back_right,PC16,0,0
1970-01-01 00:00:50,Back_right,PC17,0,0
1970-01-01 00:00:50,Back_right,PC18,1,1
1970-01-01 00:00:50,Back_right,PC22,0,0
1970-01-01 00:00:50,Back_right,PC23,0,1
1970-01-01 00:00:50,Back_right,PC24,0,0
1970-01-01 00:00:50,Back_right,PC28,0,0
1970-01-01 00:00:50,Back_right,PC29,0,0
1970-01-01 00:00:50,Back_right,PC30,0,0
1970-01-01 00:01:25,Back_right,PC16,0,0
1970-01-01 00:01:25,Back_right,PC17,0,0
1970-01-01 00:01:25,Back_right,PC18,1,1
1970-01-01 00:01:25,Back_right,PC22,0,0
1970-01-01 00:01:25,Back_right,PC23,0,1
1970-01-01 00:01:25,Back_right,PC24,0,0
1970-01-01 00:01:25,Back_right,PC28,1,1
1970-01-01 00:01:25,Back_right,PC29,0,0
1970-01-01 00:01:25,Back_right,PC30,0,0
1970-01-01 00:03:08,Back_right,PC16,0,0
1970-01-01 00:03:08,Back_right,PC17,0,0
1970-01-01 00:03:08,Back_right,PC18,1,1
1970-01-01 00:03:08,Back_right,PC22,0,0
1970-01-01 00:03:08,Back_right,PC23,0,1
1970-01-01 00:03:08,Back_right,PC24,0,0
1970-01-01 00:03:08,Back_right,PC28,0,1
1970-01-01 00:03:08,Back_right,PC29,0,0
1970-01-01 00:03:08,Back_right,PC30,0,0
1970-01-01 00:17:27,Back_right,PC16,0,0
1970-01-01 00:17:27,Back_right,PC17,0,0
1970-01-01 00:17:27,Back_right,PC18,0,1
1970-01-01 00:17:27,Back_right,PC22,0,0
1970-01-01 00:17:27,Back_right,PC23,0,1
1970-01-01 00:17:27,Back_right,PC24,0,0
1970-01-01 00:17:27,Back_right,PC28,0,1
1970-01-01 00:17:27,Back_right,PC29,0,0
1970-01-01 00:17:27,Back_right,PC30,0,0
1970-01-01 00:17:28,Back_right,PC16,0,0
1970-01-01 00:17:28,Back_right,PC17,1,1
1970-01-01 00:17:28,Back_right,PC18,0,1
1970-01-01 00:17:28,Back_right,PC22,0,0
1970-01-01 00:17:28,Back_right,PC23,0,1
1970-01-01 00:17:28,Back_right,PC24,0,0
1970-01-01 00:17:28,Back_right,PC28,0,1
1970-01-01 00:17:28,Back_right,PC29,0,0
1970-01-01 00:17:28,Back_right,PC30,0,0
1970-01-01 00:20:09,Back_right,PC16,1,1
1970-01-01 00:20:09,Back_right,PC17,1,1
1970-01-01 00:20:09,Back_right,PC18,0,1
1970-01-01 00:20:09,Back_right,PC22,0,0
1970-01-01 00:20:09,Back_right,PC23,0,1
1970-01-01 00:20:09,Back_right,PC24,0,0
1970-01-01 00:20:09,Back_right,PC28,0,1
1970-01-01 00:20:09,Back_right,PC29,0,0
1970-01-01 00:20:09,Back_right,PC30,0,0
1970-01-01 00:33:07,Back_right,PC16,1,1
1970-01-01 00:33:07,Back_right,PC17,1,1
1970-01-01 00:33:07,Back_right,PC18,0,1
1970-01-01 00:33:07,Back_right,PC22,0,0
1970-01-01 00:33:07,Back_right,PC23,0,1
1970-01-01 00:33:07,Back_right,PC24,0,0
1970-01-01 00:33:07,Back_right,PC28,1,2
1970-01-01 00:33:07,Back_right,PC29,0,0
1970-01-01 00:33:07,Back_right,PC30,0,0
1970-01-01 00:35:30,Back_right,PC16,0,1
1970-01-01 00:35:30,Back_right,PC17,1,1
1970-01-01 00:35:30,Back_right,PC18,0,1
1970-01-01 00:35:30,Back_right,PC22,0,0
1970-01-01 00:35:30,Back_right,PC23,0,1
1970-01-01 00:35:30,Back_right,PC24,0,0
1970-01-01 00:35:30,Back_right,PC28,1,2
1970-01-01 00:35:30,Back_right,PC29,0,0
1970-01-01 00:35:30,Back_right,PC30,0,0
1970-01-01 00:35:40,Back_right,PC16,0,1
1970-01-01 00:35:40,Back_right,PC17,1,1
1970-01-01 00:35:40,Back_right,PC18,0,1
1970-01-01 00:35:40,Back_right,PC22,0,0
1970-01-01 00:35:40,Back_right,PC23,0,1
1970-01-01 00:35:40,Back_right,PC24,1,1
1970-01-01 00:35:40,Back_right,PC28,1,2
1970-01-01 00:35:40,Back_right,PC29,0,0
1970-01-01 00:35:40,Back_right,PC30,0,0
1970-01-01 00:35:45,Back_right,PC16,0,1
1970-01-01 00:35:45,Back_right,PC17,0,1
1970-01-01 00:35:45,Back_right,PC18,0,1
1970-01-01 00:35:45,Back_right,PC22,0,0
1970-01-01 00:35:45,Back_right,PC23,0,1
1970-01-01 00:35:45,Back_right,PC24,1,1
1970-01-01 00:35:45,Back_right,PC28,1,2
1970-01-01 00:35:45,Back_right,PC29,0,0
1970-01-01 00:35:45,Back_right,PC30,0,0
1970-01-01 00:35:57,Back_right,PC16,0,1
1970-01-01 00:35:57,Back_right,PC17,0,1
1970-01-01 00:35:57,Back_right,PC18,0,1
1970-01-01 00:35:57,Back_right,PC22,0,0
1970-01-01 00:35:57,Back_right,PC23,1,1
1970-01-01 00:35:57,Back_right,PC24,1,1
1970-01-01 00:35:57,Back_right,PC28,1,2
1970-01-01 00:35:57,Back_right,PC29,0,0
1970-01-01 00:35:57,Back_right,PC30,0,0
1970-01-01 00:49:23,Back_right,PC16,0,1
1970-01-01 00:49:23,Back_right,PC17,0,1
1970-01-01 00:49:23,Back_right,PC18,0,1
1970-01-01 00:49:23,Back_right,PC22,0,0
1970-01-01 00:49:23,Back_right,PC23,1,1
1970-01-01 00:49:23,Back_right,PC24,1,1
1970-01-01 00:49:23,Back_right,PC28,0,2
1970-01-01 00:49:23,Back_right,PC29,0,0
1970-01-01 00:49:23,Back_right,PC30,0,0
1970-01-01 00:50:30,Back_right,PC16,0,1
1970-01-01 00:50:30,Back_right,PC17,0,1
1970-01-01 00:50:30,Back_right,PC18,0,1
1970-01-01 00:50:30,Back_right,PC22,0,0
1970-01-01 00:50:30,Back_right,PC23,0,1
1970-01-01 00:50:30,Back_right,PC24,0,1
1970-01-01 00:50:30,Back_right,PC28,0,2
1970-01-01 00:50:30,Back_right,PC29,0,0
1970-01-01 00:50:30,Back_right,PC30,0,0
1970-01-01 00:50:31,Back_right,PC16,0,1
1970-01-01 00:50:31,Back_right,PC17,0,1
1970-01-01 00:50:31,Back_right,PC18,0,1
1970-01-01 00:50:31,Back_right,PC22,1,1
1970-01-01 00:50:31,Back_right,PC23,0,1
1970-01-01 00:50:31,Back_right,PC24,0,1
1970-01-01 00:50:31,Back_right,PC28,0,2
1970-01-01 00:50:31,Back_right,PC29,0,0
1970-01-01 00:50:31,Back_right,PC30,0,0
1970-01-01 00:50:35,Back_right,PC16,0,1
1970-01-01 00:50:35,Back_right,PC17,0,1
1970-01-01 00:50:35,Back_right,PC18,0,1
1970-01-01 00:50:35,Back_right,PC22,1,1
1970-01-01 00:50:35,Back_right,PC23,0,1
1970-01-01 00:50:35,Back_right,PC24,0,1
1970-01-01 00:50:35,Back_right,PC28,0,2
1970-01-01 00:50:35,Back_right,PC29,0,0
